recipe_id,name,category,ingredients,steps,images
6859263,매콤 된장찌개,한식,느타리버섯 1줌 구매 | 양파 1/2개 구매 | 애호박 1/4개 구매 | 청양고추 2개 구매 | 두부 1/4모 구매 | 물 1.5종이컵 구매 | 된장 2T 구매 | 진간장 1T 구매 | 고추가루 1.5T 구매 | 다진마늘 0.5T 구매 | 설탕 0.5티스푼 구매 | 소금 간맞추기 구매 | 뚝배기 구매 | 나무도마 구매 | 요리나이프 구매,"1. 물1.5종이컵에 된장,고추가루,다진마늘,설탕,간장을 한데넣고 한소끔 끓여줍니다. || 2. 그사이 양파,버섯,애호박,청양고추,두부는 적당한 크기로 썰어줍니다. || 3. 한소끔 끓은 된장물에 양파,버섯,애호박,청양고추,두부를 넣어 줍니다. || 4. 애호박이 익을때까지 끓여주어 간을보아 부족한간은 소금으로 해주어 완성. 저는 부족한간이 없어 소금은 넣지 않았습니다.",6859263_step_1.jpg; 6859263_step_2.jpg; 6859263_step_3.jpg; 6859263_step_4.jpg
6873683,소고기 미역국,한식,소고기 국거리용 180g 구매 | 미역 20g 1줌 구매 | 쌀뜨물 혹은 물 / 종이컵 7컵 1.4L 구매 | 다진마늘 1큰술 구매 | 참기름 1큰술 구매 | 국간장 2큰술 구매 | 소금 약간 구매 | 스테인레스볼 구매 | 채반 구매 | 스테인레스냄비 구매 | 계량컵 구매 | 대접 구매,"1. 키친타올을 이용해 소고기 핏물을 닦아주세요.덩어리 고기를 사용할 경우 수직 방향(고기의 결과 반대로)으로 썰어주세요.결대로 썰어주면 고기가 질겨져요. || 2. 미역은 물 500ml(약 2.5컵)에 10분간 불려주세요.미역 20g은 이 정도.대충 가늠할 수 있겠지요?저울이 없는 분들은 사진 참고해서 양 조절해주세요. || 3. 미역은 물 500ml(약 2.5컵)에 10분간 불려주세요.혹, 양 조절에 실패했다면 불린 미역은 냉동실에 보관해뒀다가 드세요. || 4. 불린 미역은 가위를 이용해 먹기 좋은 크기로 잘라주세요. || 5. 미역은 체를 이용해 건져주세요. 이때 미역 불린 물은 버리지 않고 미역국 끓일 때 물 대신 사용해주세요.엄마의 레시피..미역 불린 물 혹은 쌀뜨물을 넣어 미역국을 끓이는 거예요. 쌀드물이 없다면 일반 생수 사용해 주세요.국물의 깊이가 달라진다고 해야 할까요?조미료 하나 넣지 않고도 깊고 진한 맛의 미역국을 끓일 수 있어요. || 6. 중불로 달군 냄비에 참기름 1큰술을 두른 뒤 다진마늘 1큰술과 소고기를 넣고 볶아주세요. || 7. 소고기 겉면이 절반 정도 익을 때쯤 국간장 1큰술을 넣어 볶아주세요. || 8. 미역을 넣고 푸른색을 띨 때까지 달달 볶아주세요. || 9. 쌀뜨물 혹은 미역 불린 물 400mL(약 2컵)를 붓고 강불로 올려주세요. || 10. 국물이 끓기 시작하면 물 1L(약 5컵)를 넣어주세요. 다시 끓어오르면 중약불로 줄인 뒤 15분간 끓여주세요. || 11. 국간장 1큰술을 넣고 부족한 간은 소금으로 더해주세요. 엄마 손맛 가득한 미역국 완성입니다.",6873683_step_1.jpg; 6873683_step_2.jpg; 6873683_step_3.jpg; 6873683_step_4.jpg; 6873683_step_5.jpg; 6873683_step_6.jpg; 6873683_step_7.jpg; 6873683_step_8.jpg; 6873683_step_9.jpg; 6873683_step_10.jpg; 6873683_step_11.jpg
6891816,간장 멸치볶음,한식,잔멸치 300cc 1국그릇 구매 | 오일 3스푼 구매 | 간장 1스푼 구매 | 맛술 1스푼 구매 | 올리고당 3스푼 구매 | 설탕 1티스푼 구매 | 참기름 1스푼 구매 | 깨소금 1스푼 구매 | 후라이팬 구매 | 계량스푼 구매,"1. 잔멸치 국그릇1이예요대량으로 구매를 해서 몇 그람 정도인지 몰라서 비커에 넣어 봤어요ㅋ 300cc네요 || 2. 멸치 비린내를 없애기 위해서 볶음팬에 아무것도 없이 멸치만 넣고 중간불에 볶아주세요 || 3. 멸치가 약간 노릇노릇하게 되었을때 오일을 3T넣고 볶아주세요 저는 카놀라유를 사용했어요 약간의 기포가 생길때 불을 끄고 || 4. 맛술1T,간장1T를 넣고 골고루 섞어주세요 || 5. 올리고당 3T와 설탕 티스푼1T 넣고 약불에서 아주 잠깐만(3초~5초) 골고루 볶아주세요(달게 드시지 않으시면 설탕은 생략하셔도 됩니다) || 6. 다시 불을 끄고 참기름1 || 7. 깨소금1T || 8. 골고루 섞어주면 완성입니다",6891816_step_1.jpg; 6891816_step_2.jpg; 6891816_step_3.jpg; 6891816_step_4.jpg; 6891816_step_5.jpg; 6891816_step_6.jpg; 6891816_step_7.jpg; 6891816_step_8.jpg
6889424,이상순 계란볶음밥,한식,밥 2공기 구매 | 달걀 2개 구매 | 대파 1/2대 구매 | 굴소스 2T 구매 | 식용유 적당량 구매 | 후추 조금 구매,"1. 재료의 양은 취향껏 준비해주세요. || 2. 먼저 대파는 잘게 썰어 주세요.대파1/2대칼,도마 || 3. 볼에 밥을 담고 날달걀을 풀어서밥과 달걀을 잘 섞어주세요.밥2공기, 달걀2개볼,수저 || 4. 달군 후라이팬에 식용유를 적당량 붓고대파를 넣은 뒤 파기름을 내주세요.손질한 대파, 식용유후라이팬,주걱센불 || 5. 파향이 솔솔 올라오면계란 섞은 밥을 넣어서같이 볶아주세요.계란 섞은 밥주걱센불 || 6. 후추를 뿌리고굴소스로 간을 맞춰준 후휘리릭 볶아준 뒤가스불을 꺼주세요.후추, 굴소스중불 || 7. 그릇에 담아내면효리네민박 달걀볶음밥완성이에요.",6889424_step_1.jpg; 6889424_step_2.jpg; 6889424_step_3.jpg; 6889424_step_4.jpg; 6889424_step_5.jpg; 6889424_step_6.jpg; 6889424_step_7.jpg
3686217,대박 맛집 김치찌개,한식,김치 1/2포기 구매 | 포도씨유 1큰술 구매 | 깍두기국물 1/3컵 구매 | 대파 구매 | 두부 구매 | 물(멸치육수) 구매 | 참치 1캔 구매 | 설탕 구매 | 고춧가루 구매 | 다진 마늘 1큰술 구매 | 멸치육수 구매 | 냄비 구매 | 도마 구매 | 조리용나이프 구매 | 요리스푼 구매 | 밀폐용기 구매,1. 일단 지금알려드리는 방법은 식사전에 준비하시기 보다 시간적인 여유가 있으실때 미리 김치볶음을 만들어 두셨다가 사용하셔야 해요. || 2. 냄비에 큼직하게 썰은 김치(대략 배추 1/2 포기)를 넣고 포도씨유 1큰술을 넣고 볶아주세요. 이때 김치 국물 혹은 저같은 경우는 깍두기 국물을 1/3컵 정도 넣어 주었어요. 김치국물이 들어가면 따로 간을 하지 않아도 되거든요. 또한 이때 설탕을 조금 넣어주시면 김치가 더욱 빨리 무르게 익어요. 또한 고춧가루를 넣어주면 색도 이뻐지고 윤도나지요. || 3. 볶는 중간에 다진마늘 1큰술도 넣어주세요. || 4. 김치가 타려는듯 하면 중불에서 물 혹은 멸치육수를 1컵 정도 부어준후 가끔씩 저어가며 뚜껑을 덮고 푹~~ 익혀줍니다. || 5. 김치가 익으면 수분이 나오기도 하니 처음부터 너무 물이나 육수를 많이 붓지는 마셔요. 김치를 30분 정도 푹 익혀주면 밑준비 끝!!~ || 6. 볶아둔 김치는 식힌후에 통에담아 냉장고에서 최소 반나절이상 숙성시켜 주세요. 국물이 자박하게 있으면 나중에 김치찌개 끓이실때 따로 간을 하지 않아도 되요. || 7. 물 혹은 멸치육수를 냄비의 3/4 지점까지 부어준뒤 끓여주세요. 이떄 볶은김치의 양이 넉넉히 들어가야 더욱 맛있는건 아시죠? 물이나 육수가 부글부글 끓으면 김치찌개 완성!김치찌개에는 돼지고기나 참치를 넣으면 더욱 맛이 좋지요?돼지고기를 넣으실때는 물 넣으실떄 같이 넣어 주신후돼지고기가 익으면 완성!~이번에는 돼지고기가 없어서담백한 네모모양의 델큐브 참치를 사용했어요. || 8. 두부와 대파도 조금 준비해 주셨다가 김치찌개가 보글보글 끓으면 두부와 대파를 살짝 얹으시고 불을 끄신후 식탁으로~,3686217_step_1.jpg; 3686217_step_2.jpg; 3686217_step_3.jpg; 3686217_step_4.jpg; 3686217_step_5.jpg; 3686217_step_6.jpg
6863296,초간단 불고기,한식,소불고기 400g 구매 | 식용유 약간 구매 | 물 1/4컵 구매 | 후추 약간 구매 | 송송 썬 쪽파 1대 구매 | 간장 3T 구매 | 물 2T 구매 | 설탕 2T 구매 | 청주 2T 구매 | 다진 파 1T 구매 | 다진 마늘 1T 구매 | 다진 생강 1/4T 구매 | 참기름 약간 구매,"1. 불고기는 먹기 좋은 크기로 썬다.소불고기 400g || 2. 양념장을 만든다.[양념] 간장 3T, 물 2T, 설탕 2T, 청주 2T, 다진 파 1T, 다진 마늘 1T, 다진 생강 1/4T, 참기름 약간 || 3. 불고기에 양념장을 넣고 잘 섞는다. || 4. 팬에 약간의 기름을 두르고 불고기를 익힌다.식용유 약간팬 || 5. 고기가 타지 않게 중간마다 물을 넣는다.물 1/4cup || 6. 후추를 약간 뿌린다.후추 약간 || 7. 구운 고기 위에 쪽파를 뿌린다.송송 썬 쪽파 1대",6863296_step_1.jpg; 6863296_step_2.jpg; 6863296_step_3.jpg; 6863296_step_4.jpg; 6863296_step_5.jpg; 6863296_step_6.jpg; 6863296_step_7.jpg
6984517,도시락 반찬으로 최고! 스팸감자조림♡,한식,감자 2개 구매 | 스팸 200g 구매 | 진간장 4스푼 구매 | 설탕 4스푼 구매 | 후추 조금 구매 | 올리고당 1스푼 구매 | 다진마늘 1스푼 구매 | 물 120ml 구매,"1. 감자는 깍뚝 썰어 2분 데쳐주세요강불 || 2. 스팸은 깍둑 썰어 팬에 노릇하게 구워줍니다 || 3. 삶은 감자,다진마늘1스푼을 넣어 살짝 볶아주세요중약불 || 4. 물120ml,진간장4스푼,설탕 4스푼,후추 조금을 넣고 뚜껑을 닫아 2분 끓여줍니다 || 5. 국물이 줄때까지 졸이다가 올리고당 1스푼을 넣고 잘 섞어 마저 졸여주시면 끝!^^",
6886357,"초간단 아이반찬 오징어간장조림 
아이밑반찬으로 좋아요",한식,작은오징어 1마리 구매 | 청양고추나꽈리고추 1개 구매 | 간장 3T 구매 | 맛술 0.5T 구매 | 다진마늘 1t 구매 | 생강가루 1번 구매 | 설탕 0.5T 구매 | 올리고당 1T 구매 | 참기름 1t 구매 | 통깨 톡톡 구매 | 물 6T 구매 | 후추 톡톡 구매,1. 통깨와참기름빼고위의분량대로 양념장을만들어주세요 양념장이 끓어오르면 || 2. 오징어를 넣어주세요(오징어는깨끗히 씻어서 먹기좋은 크기로잘라 미리준비해주세요) || 3. 청양고추나꽈리고추한개넣고 중불로졸여주세요(아이가맵다싶으면청양고추대신꽈리고추로넣어주세요청양고추한개정도넣으면약간매콤하면서 아이가먹을수는있겠더라구요 ~~^^) || 4. 마지막으로참기름과 통깨톡톡뿌려주믄완성이예요오징어를 두마리이상할때는위의양념은그대로하시고 양념장양을입맛에따라조절하세요~~~^^ || 5. 아이반찬 오징어간장조림 완성~~,6886357_step_1.jpg; 6886357_step_2.jpg; 6886357_step_3.jpg; 6886357_step_4.jpg; 6886357_step_5.jpg
6871953,【스팸감자볶음만들기】,한식,감자 중간사이즈 2개 구매 | 스팸 200g 구매 | 양파 1/2개 구매 | 진간장 2T 구매 | 물엿 2T 구매 | 물 3~4T 구매 | 식용유 1T 구매 | 참기름 1T 구매 | 도마 구매 | 조리용나이프 구매 | 냄비 구매 | 나무요리스푼 구매 | 프라이팬 구매 | 원형접시 구매,"1. 감자(중간사이즈)두개를 깍뚝 썰어서 물에 담궈 주시구요~ || 2. 스팸(200g짜리)이랑 양파반개도 마찬가지로 깍뚝 썰어 주세요~ || 3. 끓는물에 감자를 2분간 데쳐 주시구요~ || 4. 감자 데친물 그대로 스팸도 10초정도 담궈 첨가물을 빼주셔요^^ || 5. 팬에 식용유한스푼, 참기름 한스푼 넣고 감자를 볶아 주시다가 || 6. 양파를 넣고~ (당근을 넣으심 더이뻐요~당근을 넣으실땐 당근역시 1분정도 데쳐서 이때 넣어 주심 됩니다^^ 감자 데친 물그대로 감자->당근->스팸 순서로 데치심 되세요^^) || 7. 스팸넣어 볶아 주세요^^ 타지 않게 중불로 볶아 주세요^~^ || 8. 양파가 살짝 익었다 싶으실때 진간장2스푼,물3~4스푼,물엿2스푼 넣어서 볶으면서 졸여 주세요^~^ || 9. 요렇게 국물이 없어지면 불을끄고 잔열로 감자를 익혀 주심 됩니다^~^너무 오래 볶으시면 감자가 다부서 질수 있어요^^ || 10. 달달하면서 짭조름~~ 쏙쏙 골라먹는 재미가 굿이에용^~^ 재료도 간단,방법도 간단 오늘 저녁 반찬으로 어떠세용^~^ ※감자 볶음과 맑은 감자국 바로 가기☞@6866831",6871953_step_1.jpg; 6871953_step_2.jpg; 6871953_step_3.jpg; 6871953_step_4.jpg; 6871953_step_5.jpg; 6871953_step_6.jpg; 6871953_step_7.jpg; 6871953_step_8.jpg; 6871953_step_9.jpg; 6871953_step_10.jpg
6956266,500원 이면 밥한끼~ 뚝딱하는 팽이버섯조림~ 너무 맛있어용^^~,한식,팽이버섯 1봉지 구매 | 청양고추 1개 구매 | 식용유 2스푼 구매 | 다진마늘 1큰술 구매 | 고추가루 1/2스푼 구매 | 설탕 1스푼 구매 | 미림 2스푼 구매 | 진간장 1스푼 구매 | 굴소스 1/2스푼 구매 | 고추장 1/3스푼 구매 | 된장 1/3스푼 구매 | 물 2스푼 구매 | 물엿 1스푼 구매,1. 계량스푼은 집에서 사용하는 8cc 정도의 밥숟가락입니다.팽이버섯 1봉지~ 약 150g 을 봉지채로 아래에서 3cm 정도 부분을 그대로 썰어 줍니다~ 요래 썰어 주면 뿌리부분에 뿌스러기도 안떨어지고 처리하기가 좋아용~우리동네 팽이는 한봉지 180g 인데? 하시는분 걱정 마시고 그냥 다 쓰시면 됩니다~ 그정도 차이는 양념으로 커버 가능함!**사진과 설명으로 부족하신 분은 링크된 동영상 참고 해주세요. 두율이네 유툽 놀러 오시면 더많은 레시피와 최신 레시피를 더 빠르게 보실수 있습니다~ 구독해 주시면 땡큐~~ || 2. 버섯은 흐르는물에 가볍게 씻거나 찬물에 담궈서 10초 정도만 흔들어 주면서 먼지 같은거만 제거합니다~ 팽이버섯은 너무 오래 담그면 팽이 특유의 향이 날아갈 뿐만 아니라~ 아직 살아 있는 아이라~곧 찌지고 뽁아질 지 운명을 모르고 더 오래 장수 할라고 물을 쫙쫙~ 빨아 들여서 나중에 지질때 빨아 먹은 물까지 다 뱉아 내서 철때반죽이 됩니다~가볍게 씻어서 물을 탈탈 털어서 준비하세요~ || 3. 버섯을 찢어서 준비하세요~ 한번 찢을때 15줄기 정도가 붙어 있는 정도면 됩니다~ 그렇다고 세아리면서 시간을 보내지는 마시고 대충 찢으시면 됩니다~ 30줄기 40줄기라도 맛있어용~ || 4. 양념장을 분량대로 섞어서 준비 한 다음~후라이팬에 식용유 2스푼을 넣고 간마늘 1스푼 (20g)을부어서 약불에 천천히 노릇하게 튀겨주세요~양념 무게는 요요요~ 밑에 참고~------ 양념 ------고추가루 반스푼 (3~4g)설탕 1스푼(10g)미림 2스푼 (16g)진간장 1스푼 (8g)굴소스 반스푼 (5g)물엿 1스푼 (10g)고추장 1/3스푼 (10g)된장 1/3스푼 (10g)물2스푼 (16g) || 5. 마늘이 노릇해 졌으면 마늘기름을 후라이팬에 넓게~ 골고루 흩어서 편 다음 그 위에 팽이 버섯을 펼쳐서 올린 다음 불을 강불로 올리고 30초간 구워 줍니다~후라이팬은 좀 넓은걸 쓰세요~ 그래야 더 맛있어요~ 제가 쓴 후라이팬은 24cm 짜리에용~ 한뼘보다 조금 더 큰 싸이즈죠~ || 6. 뒤집어서 30초를 더 구워 주세요~ || 7. 앞뒤로~ 30초씩 총 1분을 지졌으면 양념장을 골고루 끼얹어 줍니다~ 양념을 끼얹고 1분 정도르 자글자글 끓여 주시면 되요~ 사실........저는 모양좀 잡을려고 저렇게 했는데 집에서 그냥 반찬으로 드실때는 마늘기름에 팽이넣고 그냥 대충 1분간 휘휘 저어가면서 볶은 다음에 양념장 뿌려서 1분간 또 대충 섞으면서 볶으시면 되요 ^^~누구한테 잘보일일 없어서 비쥬얼 필요 없이 먹을땐~ 대충 휘리릭 뽁으세용~ || 8. 청양고추를 1개 잘게 잘라서 뿌려서 올린 다음 30초 정도 더 구워 주세요~ 청양고추랑 같이 주서 먹으면 완전 맛있어요~청양고추 안올리시면 그냥 30초 더 구우시면 되요~ || 9. 밥한숟갈 입에 넣고~ 요렇게 양념 슥슥 뭍혀서 청양고추 한개 올리가 입에 넣어주믄 ㅜㅜ... 완전 맛있어용!~!,6956266_step_1.jpg; 6956266_step_2.jpg; 6956266_step_3.jpg; 6956266_step_4.jpg; 6956266_step_5.jpg; 6956266_step_6.jpg; 6956266_step_7.jpg; 6956266_step_8.jpg; 6956266_step_9.jpg
